ticker,shortName,sector,current_rank,current_score,current_score_status,staged_rank,staged_score,staged_score_status,pushed_rank,pushed_score,pushed_score_status,rank_vs_staged,score_vs_staged,movement_vs_staged,staged_rank_vs_pushed,staged_score_vs_pushed,staged_movement_vs_pushed,rank_vs_pushed,score_vs_pushed,movement_vs_pushed
SAIPARENT,SAI PARENTERALS LIMITED,Healthcare,817,49,ranked,979,47.1,ranked,979,47.1,ranked,162,1.9,up,0,0,unchanged,162,1.9,up
SPMLINFRA,SPML INFRA LIMITED,Industrials,818,49,ranked,623,51,ranked,623,51,ranked,-195,-2,down,0,0,unchanged,-195,-2,down
AMRUTANJAN,AMRUTAJAN HEALTH LTD,Healthcare,819,49,ranked,601,51.2,ranked,601,51.2,ranked,-218,-2.2,down,0,0,unchanged,-218,-2.2,down
RKFORGE,RAMKRISHNA FORGINGS LTD,Industrials,820,48.9,ranked,1180,43.3,ranked,1180,43.3,ranked,360,5.6,up,0,0,unchanged,360,5.6,up
SHAKTIPUMP,SHAKTI PUMPS (I) LTD,Industrials,821,48.9,ranked,1025,46.4,ranked,1025,46.4,ranked,204,2.5,up,0,0,unchanged,204,2.5,up
CARYSIL,CARYSIL LIMITED,Consumer Cyclical,822,48.9,ranked,889,48.3,ranked,889,48.3,ranked,67,0.6,up,0,0,unchanged,67,0.6,up
ASALCBR,ASSO ALCOHOLS & BREW LTD,Consumer Defensive,823,48.9,ranked,810,49.1,ranked,810,49.1,ranked,-13,-0.2,down,0,0,unchanged,-13,-0.2,down
BANKBARODA,BANK OF BARODA,Financial Services,824,48.9,ranked,732,49.9,ranked,732,49.9,ranked,-92,-1,down,0,0,unchanged,-92,-1,down
VINDHYATEL,VINDHYA TELELINKS LTD,Industrials,825,48.9,ranked,1188,43.2,ranked,1188,43.2,ranked,363,5.7,up,0,0,unchanged,363,5.7,up
WINDLAS,WINDLAS BIOTECH LIMITED,Healthcare,826,48.9,ranked,557,51.6,ranked,557,51.6,ranked,-269,-2.7,down,0,0,unchanged,-269,-2.7,down
JINDRILL,JINDAL DRILLING IND. LTD,Energy,827,48.9,ranked,937,47.7,ranked,937,47.7,ranked,110,1.2,up,0,0,unchanged,110,1.2,up
MANAKCOAT,MAN COAT METAL & IND LTD,Industrials,828,48.9,ranked,768,49.7,ranked,768,49.7,ranked,-60,-0.8,down,0,0,unchanged,-60,-0.8,down
LT,LARSEN & TOUBRO LTD.,Industrials,829,48.8,ranked,962,47.2,ranked,962,47.2,ranked,133,1.6,up,0,0,unchanged,133,1.6,up
PNB,PUNJAB NATIONAL BANK,Financial Services,830,48.8,ranked,692,50.4,ranked,692,50.4,ranked,-138,-1.6,down,0,0,unchanged,-138,-1.6,down
