ticker,shortName,sector,currentPrice,pct_below_52w_high,pct_above_52w_low,trailingPE,priceToBook,roe_pct,debtToEquity,margin_pct,earningsGrowth,revenueGrowth,marketCap,score,reasons
NPST,NETWORK PEOPLE SRV TECH L,Technology,1606.9000244140625,32.71783312140678,89.80629231673628,72.67752,10.862129,17.201,3.119,23.327999,0.422,0.68,33525559805.36281,12,33% below 52w high; low D/E 3; margin 23%; earnings +42%; rev +68%
EXCELSOFT,EXCELSOFT TECHNOLOGIES L,Technology,70.87999725341797,50.2910449022973,6.746981362331772,17.458128,1.4104911,9.1359995,1.137,15.732999,0.333,0.441,8157164739.911923,12,50% below 52w high; low D/E 1; margin 16%; earnings +33%; rev +44%; PE 17
TRENT,TRENT LTD,Consumer Cyclical,2970.0,47.655974621078606,36.00976443207008,87.45583,22.673832,27.126,36.034,8.637,0.207,0.178,1583699853312.0,12,48% below 52w high; ROE 27%; low D/E 36; earnings +21%; rev +18%
PARADEEP,PARADEEP PHOSPHATES LTD,Basic Materials,148.63999938964844,35.9917325775999,49.08726573664062,14.403101,2.2732694,18.359,101.822,4.575,0.208,0.631,154365656454.13754,12,36% below 52w high; ROE 18%; earnings +21%; rev +63%; PE 14
COALINDIA,COAL INDIA LTD,Energy,402.5,18.06615776081425,9.182152899484542,7.9608383,2.0824711,28.124001999999997,11.629,18.138,0.012,0.451,2480498278400.0,12,ROE 28%; low D/E 12; margin 18%; rev +45%; PE 8
PCJEWELLER,PC JEWELLER LTD,Consumer Cyclical,9.609999656677246,37.51625757366529,28.647924050754114,11.3058815,0.8987188,9.946000000000002,14.271,22.103001,0.438,0.21,93611815663.66415,12,38% below 52w high; low D/E 14; margin 22%; earnings +44%; rev +21%; PE 11
MASTEK,MASTEK LTD,Technology,1693.5,35.48571428571429,26.93000014821909,12.646553,1.6981138,14.814,14.648,11.085,0.15,0.077,52502577152.0,12,35% below 52w high; low D/E 15; earnings +15%; PE 13
DOLATALGO,DOLAT ALGOTECH LIMITED,Financial Services,74.9000015258789,21.783625882417628,15.301728111911569,10.232241,1.1681223,12.113999999999999,25.082,35.776,0.178,-0.034,13182400780.554695,12,22% below 52w high; low D/E 25; margin 36%; earnings +18%; PE 10
PATANJALI,PATANJALI FOODS LIMITED,Consumer Defensive,352.29998779296875,42.715449139354675,7.34307577378609,19.453339,2.9243793,14.832,21.295,4.517,0.459,0.147,383259986976.2191,12,43% below 52w high; low D/E 21; earnings +46%; rev +15%
MANINFRA,MAN INFRA LTD,Industrials,110.29000091552734,34.97052066837092,43.01088821008297,20.576492,1.964343,10.152,2.766,33.541,0.212,0.194,44520378737.56772,11,35% below 52w high; low D/E 3; margin 34%; earnings +21%; rev +19%
GRSE,GARDEN REACH SHIP&ENG LTD,Industrials,2617.800048828125,21.59927975956499,33.309574472714296,37.445286,11.418178,31.791002000000002,1.424,10.665,0.439,0.385,299874227673.3593,11,22% below 52w high; ROE 32%; low D/E 1; earnings +44%; rev +38%
ACUTAAS,ACUTAAS CHEMICALS LIMITED,Basic Materials,3210.5,14.157754010695186,146.58218125960062,92.07055,15.899467,23.516001,2.081,26.421,0.671,0.591,262847234048.0,11,ROE 24%; low D/E 2; margin 26%; earnings +67%; rev +59%
KSCL,KAVERI SEED CO. LTD.,Basic Materials,773.4000244140625,36.865304129464285,9.686576541343335,16.119217,1.8662091,18.160999,0.0,19.520001,-0.14,-0.135,39475008734.114944,11,37% below 52w high; ROE 18%; low D/E 0; margin 20%; PE 16
SYNCOMF,SYNCOM FORMU (I) LTD,Healthcare,15.460000038146973,17.326206377561583,51.42017610562938,17.177778,3.4733765,20.191,0.355,15.626000000000001,0.688,-0.09,14532400163.858154,11,ROE 20%; low D/E 0; margin 16%; earnings +69%; PE 17
FORCEMOT,FORCE MOTORS LIMITED,Consumer Cyclical,17885.0,32.38185255198488,19.945007041781235,18.812256,5.7184114,33.507999999999996,0.0,13.607,0.228,0.062,235657445376.0,11,32% below 52w high; ROE 34%; low D/E 0; earnings +23%
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,Industrials,739.7999877929688,32.65668791493403,49.439451779636286,36.587536,7.696069,21.471001,0.265,14.542,0.325,0.076,96119536077.9846,11,33% below 52w high; ROE 21%; low D/E 0; earnings +32%
STAR,STRIDES PHARMA SCI LTD,Healthcare,993.0,19.33387489845654,29.18753248683732,14.921111,2.9453115,20.033,55.821,12.259,0.574,0.13,91527503872.0,11,ROE 20%; earnings +57%; rev +13%; PE 15
