ticker,shortName,sector,currentPrice,pct_below_52w_high,trailingPE,roe_pct,debtToEquity,promoter_pct,institutional_pct,institutions_count,avg_delivery_pct,delivery_trend,score,ownership_score,shareholding_score,final_score,reasons,shareholding_reasons
POONAWALLA,POONAWALLA FINCORP LTD,Financial Services,494.0499877929687,13.385349465846105,52.17001,9.82,468.058,61.7,19.9,58.0,49.1,-1.5,4,1,2,7,margin 23%; earnings +337%; rev +100%,strong promoter 61.7%
GODAVARIB,GODAVARI BIOREFINERIES L,Basic Materials,245.8000030517578,30.36827109015359,4916.0,0.449,67.331,63.3,8.9,3.0,50.4,-5.3,5,0,2,7,30% below 52w high,strong promoter 63.3%
ASIANENE,ASIAN ENERGY SERVICES LTD,Energy,484.8999938964844,1.040817572146046,38.514694,11.6000004,32.051,68.3,0.0,0.0,41.5,-13.4,6,-1,2,7,low D/E 32; earnings +102%; rev +135%,strong promoter 68.3%
TASTYBITE,TASTY BITE EATABLES LTD,Consumer Defensive,10104.5,4.168247344461305,72.02581,10.807,12.254,80.2,3.6,6.0,45.4,-22.3,5,0,2,7,low D/E 12; rev +29%,strong promoter 80.2%; ⚠ very high promoter = low float
URBANCO,URBAN COMPANY LIMITED,Technology,145.49000549316406,27.681672735899916,,-11.921,6.335,32.8,51.4,39.0,43.1,11.8,0,5,2,7,28% below 52w high; low D/E 6; rev +44%,high institutional 51.4%
NIACL,THE NEW INDIA ASSU CO LTD,Financial Services,183.0800018310547,16.018347783919868,39.11966,3.421,,85.4,10.8,41.0,28.0,1.5,5,0,2,7,earnings +61%,strong promoter 85.4%; ⚠ very high promoter = low float
AURUM,AURUM PROPTECH LIMITED,Real Estate,229.8000030517578,13.165058066884969,30.396826,-2.928,44.065,60.2,3.9,3.0,49.9,4.3,4,1,2,7,low D/E 44; rev +64%,strong promoter 60.2%
ORIENTHOT,ORIENT HOTELS LTD,Consumer Cyclical,137.2899932861328,8.16722857114862,36.80697,18.5,17.136,69.3,1.5,6.0,49.2,-15.5,5,0,2,7,ROE 18%; low D/E 17,strong promoter 69.3%
JWL,JUPITER WAGONS LIMITED,Industrials,248.1000061035156,33.458494825762514,63.615383,5.768,33.365,72.4,6.5,41.0,36.8,-0.7,5,0,2,7,33% below 52w high; low D/E 33,strong promoter 72.4%
PVRINOX,PVR INOX LIMITED,Communication Services,1219.5,2.416576166427449,42.849613,2.4400001,91.874,29.0,44.0,68.0,46.5,-3.2,4,1,2,7,rev +10%,high institutional 44.0%
JINDALSTEL,JINDAL STEEL LIMITED,Basic Materials,1118.9000244140625,14.33929978253129,41.984993,6.771999600000001,43.613,63.9,21.7,155.0,43.2,-2.5,5,0,2,7,low D/E 44; rev +26%,strong promoter 63.9%
BHEL,BHEL,Industrials,413.5,7.390817469204928,58.98716,9.82,31.312,59.8,23.8,150.0,40.4,-5.4,6,-1,2,7,low D/E 31; earnings +200%; rev +40%,strong promoter 59.8%
JSWSTEEL,JSW STEEL LIMITED,Basic Materials,1299.699951171875,2.6441984140917603,12.827674,9.16,95.374,63.6,17.9,191.0,55.1,-5.7,5,0,2,7,earnings +113%; PE 13,strong promoter 63.6%
CLEANMAX,CLEAN MAX ENVIRO EN SOL L,Utilities,1220.0999755859375,20.56640783945719,90.84884,1.9609999,229.641,70.7,15.3,19.0,42.6,0.2,5,0,2,7,21% below 52w high; earnings +128%; rev +109%,strong promoter 70.7%
IRCON,IRCON INTERNATIONAL LTD,Industrials,126.54000091552734,33.224273923204564,19.260273,9.084,85.833,65.2,3.4,37.0,39.5,0.3,5,0,2,7,33% below 52w high,strong promoter 65.2%
TRIVENI,TRIVENI ENGG. & INDS. LTD,Consumer Defensive,300.04998779296875,38.77780370204806,23.681925,8.2650006,64.646,67.4,9.6,27.0,49.4,-20.8,5,0,2,7,39% below 52w high,strong promoter 67.4%
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,Consumer Cyclical,951.5499877929688,11.401304674770136,54.939377,10.4940005,55.868,67.4,10.0,45.0,49.2,-7.6,5,0,2,7,earnings +153%; rev +15%,strong promoter 67.4%
HGINFRA,H.G.INFRA ENGINEERING LTD,Industrials,513.7000122070312,51.07385722208206,17.948986,10.586,153.264,71.8,10.5,19.0,47.8,-9.2,5,0,2,7,51% below 52w high; PE 18,strong promoter 71.8%
INDIAGLYCO,INDIA GLYCOLS LTD,Basic Materials,1101.9000244140625,9.82814857495397,30.839632,11.2849995,57.645,63.8,3.4,20.0,48.6,-10.1,5,0,2,7,earnings +22%,strong promoter 63.8%
EMIL,ELECTRONICS MART IND LTD,Consumer Cyclical,191.05999755859375,2.887063015136324,35.71215,6.787,122.806,65.2,27.8,24.0,39.3,1.0,4,0,3,7,earnings +461%; rev +39%,strong promoter 65.2%; institutional 27.8%
AARTIIND,AARTI INDUSTRIES LTD,Basic Materials,520.0499877929688,3.996681544431666,35.61986,7.249,83.392,42.2,25.1,59.0,40.9,4.9,5,0,2,7,earnings +258%; rev +42%,promoter 42.2%; institutional 25.1%
